Battle;CommandersAlliesCountry;CommandersAlliesName;;;;;
Battle of Belgium;United Kingdom;Lord Gort;;;;;
Battle of Fort Eben-Emael;Belgium;Jean Jottrand;;;;;
Battle of Hannut;France;René Prioux;;;;;
Battle of Hannut;France;Gabriel Bougrain;;;;;
Battle of Hannut;France;Jean-Léon-Albert Langlois;;;;;
Battle of Gembloux;France;René Prioux;;;;;
Operation Cerberus;United Kingdom;Bertram Ramsay;;;;;
Operation Donnerkeil;United Kingdom;Sholto Douglas;;;;;
Operation Donnerkeil;United Kingdom;Philip de la Ferté;;;;;
Operation Donnerkeil;United Kingdom;Trafford Leigh-Mallory;;;;;
St Nazaire Raid;United Kingdom;Robert Ryder;;;;;
St Nazaire Raid;United Kingdom;Augustus Charles Newman;;;;;
Battle of Dieppe;United Kingdom;Louis Mountbatten;;;;;
Battle of Dieppe;Canada;J. H. Roberts;;;;;
Battle of Dieppe;United Kingdom;Trafford Leigh-Mallory;;;;;
Battle of Berlin (RAF);United Kingdom;Arthur Harris;;;;;
Battle of Berlin (RAF);United Kingdom;Ralph Cochrane;;;;;
Battle of Berlin (RAF);United Kingdom;Don Bennett;;;;;
Battle of Berlin (RAF);United Kingdom;Roderick Carr;;;;;
Battle of the Netherlands;Netherlands;Henri Winkelman;;;;;
Battle of the Netherlands;Netherlands;Jan Joseph Godfried van Voorst tot Voorst;;;;;
Battle of the Netherlands;France;Henri Giraud;;;;;
Battle of Rotterdam;Netherlands;Colonel P.W. Scharroo;;;;;
Battle of Zeeland;Netherlands;Henri Winkelman;;;;;
Battle of Zeeland;Netherlands;Hendrik Jan van der Stad;;;;;
Battle of Zeeland;France;Henri Giraud;;;;;
Battle of the Afsluitdijk;Netherlands;Christiaan Boers;;;;;
Battle of the Grebbeberg;Netherlands;Jan Joseph Godfried van Voorst tot Voorst;;;;;
Battle of the Grebbeberg;Netherlands;Jacob Harberts;;;;;
Battle of the Grebbeberg;Netherlands;Antonie Marinus Michiel van Loon;;;;;
Battle for The Hague;Netherlands;Henri Winkelman;;;;;
Battle of Maastricht;Netherlands;Henri Winkelman;;;;;
Battle for Brest;United States;Troy H. Middleton;;;;;
Operation Dragoon;United States;Jacob L. Devers;;;;;
Operation Dragoon;United States;Henry Kent Hewitt;;;;;
Operation Dragoon;United States;Alexander Patch;;;;;
Operation Dragoon;United States;Lucian Truscott;;;;;
Operation Dragoon;France;Jean de Lattre de Tassigny;;;;;
Allied advance from Paris to the Rhine;United States;Dwight D. Eisenhower;;;;;
Allied advance from Paris to the Rhine;United States;Omar Bradley;;;;;
Allied advance from Paris to the Rhine;United States;Jacob L. Devers;;;;;
Allied advance from Paris to the Rhine;United Kingdom;Bernard Montgomery;;;;;
Western Allied invasion of Germany;United States;Dwight D. Eisenhower;;;;;
Western Allied invasion of Germany;United Kingdom;Bernard Montgomery;;;;;
Western Allied invasion of Germany;United States;Omar Bradley;;;;;
Western Allied invasion of Germany;United States;Jacob L. Devers;;;;;
Operation Veritable;United Kingdom;Bernard Montgomery;;;;;
Operation Veritable;Canada;Harry Crerar;;;;;
Operation Veritable;United Kingdom;Brian Horrocks;;;;;
Operation Varsity;United Kingdom;Bernard Montgomery;;;;;
Operation Varsity;United Kingdom;Eric Bols;;;;;
Operation Varsity;United States;Matthew Ridgway;;;;;
Operation Undertone;United States;Jacob L. Devers;;;;;
Battle of Kassel;United States;Horace McBride;;;;;
Battle of Heilbronn;United States;Edward H. Brooks;;;;;
Ruhr Pocket;United States;Omar Bradley;;;;;
Ruhr Pocket;United States;Courtney H. Hodges;;;;;
Ruhr Pocket;United States;William Hood Simpson;;;;;
Ruhr Pocket;United States;Leonard Gerow;;;;;
Ruhr Pocket;United States;Bernard Montgomery;;;;;
Ruhr Pocket;Germany;Karl August Wiedenhofen;;;;;
Battle of Groningen;Canada;Bruce Matthews;;;;;
